time, Quad.Est.E.Pos, Quad.Est.S.Z
3.584923,0.170564,0.311219
3.589922,0.170986,0.311344
3.594922,0.171562,0.311534
3.599921,0.171909,0.311661
3.604921,0.173983,0.308980
3.609921,0.174156,0.309097
3.614920,0.174371,0.309273
3.619920,0.174490,0.309391
3.624920,0.174714,0.309569
3.629919,0.174853,0.309688
3.634919,0.175085,0.309868
3.639919,0.175238,0.309988
3.644918,0.175478,0.310169
3.649918,0.175635,0.310290
3.654917,0.175872,0.310473
3.659917,0.176021,0.310595
3.664917,0.176255,0.310779
3.669916,0.176435,0.310903
3.674916,0.176678,0.311089
3.679916,0.176866,0.311213
3.684915,0.177118,0.311401
3.689915,0.177279,0.311527
3.694915,0.177534,0.311716
3.699914,0.177699,0.311843
3.704914,0.142040,0.309161
3.709913,0.142091,0.309277
3.714913,0.142189,0.309453
3.719913,0.142273,0.309571
3.724912,0.142368,0.309749
3.729912,0.142433,0.309868
3.734912,0.142530,0.310047
3.739911,0.142597,0.310167
3.744911,0.142695,0.310348
3.749911,0.142762,0.310469
3.754910,0.142865,0.310652
3.759910,0.142935,0.310774
3.764910,0.143041,0.310958
3.769909,0.143104,0.311082
3.774909,0.143210,0.311267
3.779908,0.143267,0.311392
3.784908,0.143374,0.311580
3.789908,0.143446,0.311705
3.794907,0.143554,0.311894
3.799907,0.143625,0.312021
3.804907,0.160385,0.309337
3.809906,0.160496,0.309454
3.814906,0.160664,0.309630
3.819906,0.160777,0.309747
3.824905,0.160948,0.309925
3.829905,0.161061,0.310044
3.834904,0.161235,0.310223
3.839904,0.161351,0.310343
3.844904,0.161527,0.310524
3.849903,0.161645,0.310645
3.854903,0.161825,0.310827
3.859903,0.161945,0.310949
3.864902,0.162127,0.311133
3.869902,0.162247,0.311256
3.874902,0.162430,0.311442
3.879901,0.162559,0.311567
3.884901,0.162747,0.311754
3.889900,0.162866,0.311879
3.894900,0.163054,0.312069
3.899900,0.163186,0.312195
3.904899,0.168775,0.309509
3.909899,0.168971,0.309626
3.914899,0.169268,0.309802
3.919898,0.169467,0.309920
3.924898,0.169767,0.310097
3.929898,0.169969,0.310216
3.934897,0.170271,0.310395
3.939897,0.170473,0.310515
3.944896,0.170778,0.310695
3.949896,0.170982,0.310816
3.954896,0.171290,0.310998
3.959895,0.171498,0.311120
3.964895,0.171810,0.311304
3.969895,0.172017,0.311428
3.974894,0.172328,0.311613
3.979894,0.172540,0.311737
3.984894,0.172853,0.311925
3.989893,0.173063,0.312050
3.994893,0.173378,0.312239
3.999892,0.173590,0.312366
4.004892,0.140264,0.309678
4.009892,0.140203,0.309795
4.014892,0.140111,0.309970
4.019891,0.140051,0.310088
4.024891,0.139958,0.310265
4.029891,0.139896,0.310384
4.034890,0.139802,0.310563
4.039890,0.139738,0.310683
4.044889,0.139642,0.310863
4.049889,0.139577,0.310984
4.054889,0.139478,0.311166
4.059888,0.139411,0.311288
4.064888,0.139309,0.311472
4.069888,0.139238,0.311595
4.074887,0.139132,0.311780
4.079887,0.139060,0.311904
4.084887,0.138951,0.312092
4.089886,0.138885,0.312217
4.094886,0.138775,0.312406
4.099885,0.138703,0.312532
4.104885,0.154698,0.309843
4.109885,0.154906,0.309960
4.114884,0.155220,0.310135
4.119884,0.155428,0.310253
4.124884,0.155742,0.310430
4.129883,0.155955,0.310548
4.134883,0.156270,0.310727
4.139883,0.156481,0.310847
